timestamp,date,hour_utc,minute,outcome,up_price,down_price,btc_open,btc_close,btc_change_pct
1772843100,2026-03-07,0,25,down,0.0,1.0,68241.0,68210.27,-0.045
1772843400,2026-03-07,0,30,up,1.0,0.0,68210.26,68315.69,0.1546
1772843700,2026-03-07,0,35,down,0.0,1.0,68315.7,68290.95,-0.0362
1772844000,2026-03-07,0,40,up,1.0,0.0,68290.95,68297.84,0.0101
1772844300,2026-03-07,0,45,up,1.0,0.0,68297.84,68315.31,0.0256
1772844600,2026-03-07,0,50,up,1.0,0.0,68315.31,68358.33,0.063
1772844900,2026-03-07,0,55,down,0.0,1.0,68358.32,68290.45,-0.0993
1772845200,2026-03-07,1,0,up,1.0,0.0,68290.46,68353.0,0.0916
1772845500,2026-03-07,1,5,down,0.0,1.0,68353.0,68327.79,-0.0369
1772845800,2026-03-07,1,10,down,0.0,1.0,68327.8,68240.16,-0.1283
1772846100,2026-03-07,1,15,up,1.0,0.0,68240.17,68245.07,0.0072
1772846400,2026-03-07,1,20,down,0.0,1.0,68245.06,68208.86,-0.053
1772846700,2026-03-07,1,25,up,1.0,0.0,68208.85,68225.06,0.0238
1772847000,2026-03-07,1,30,down,0.0,1.0,68225.06,68210.0,-0.0221
1772847300,2026-03-07,1,35,up,1.0,0.0,68210.0,68248.93,0.0571
1772847600,2026-03-07,1,40,up,1.0,0.0,68248.92,68273.3,0.0357
1772847900,2026-03-07,1,45,up,1.0,0.0,68273.31,68292.73,0.0284
1772848200,2026-03-07,1,50,up,1.0,0.0,68292.74,68321.67,0.0424
1772848500,2026-03-07,1,55,down,0.0,1.0,68321.67,68262.01,-0.0873
1772848800,2026-03-07,2,0,down,0.0,1.0,68262.01,68261.2,-0.0012
1772849100,2026-03-07,2,5,up,1.0,0.0,68261.2,68284.12,0.0336
1772849400,2026-03-07,2,10,down,0.0,1.0,68284.12,68240.01,-0.0646
1772849700,2026-03-07,2,15,down,0.0,1.0,68240.01,68229.38,-0.0156
1772850000,2026-03-07,2,20,down,0.0,1.0,68229.38,68133.07,-0.1412
1772850300,2026-03-07,2,25,down,0.0,1.0,68133.07,68107.02,-0.0382
1772850600,2026-03-07,2,30,up,1.0,0.0,68107.02,68121.08,0.0206
1772850900,2026-03-07,2,35,up,1.0,0.0,68121.08,68140.74,0.0289
1772851200,2026-03-07,2,40,up,1.0,0.0,68140.73,68166.88,0.0384
1772851500,2026-03-07,2,45,up,1.0,0.0,68166.87,68206.14,0.0576
1772851800,2026-03-07,2,50,up,1.0,0.0,68206.14,68225.24,0.028
1772852100,2026-03-07,2,55,up,1.0,0.0,68225.25,68350.04,0.1829
1772852400,2026-03-07,3,0,up,1.0,0.0,68350.05,68365.83,0.0231
1772852700,2026-03-07,3,5,up,1.0,0.0,68365.82,68394.39,0.0418
1772853000,2026-03-07,3,10,up,1.0,0.0,68394.38,68515.19,0.1766
1772853300,2026-03-07,3,15,down,0.0,1.0,68515.19,68332.25,-0.267
1772853600,2026-03-07,3,20,down,0.0,1.0,68332.25,68291.53,-0.0596
1772853900,2026-03-07,3,25,down,0.0,1.0,68291.53,68233.79,-0.0845
1772854200,2026-03-07,3,30,down,0.0,1.0,68233.8,68222.31,-0.0168
1772854500,2026-03-07,3,35,down,0.0,1.0,68222.31,68191.12,-0.0457
1772854800,2026-03-07,3,40,down,0.0,1.0,68191.12,68175.27,-0.0232
1772855100,2026-03-07,3,45,up,1.0,0.0,68175.28,68180.74,0.008
1772855400,2026-03-07,3,50,down,0.0,1.0,68180.75,68122.6,-0.0853
1772855700,2026-03-07,3,55,down,0.0,1.0,68122.6,68095.5,-0.0398
1772856000,2026-03-07,4,0,down,0.0,1.0,68095.5,67903.11,-0.2825
1772856300,2026-03-07,4,5,down,0.0,1.0,67903.11,67886.69,-0.0242
1772856600,2026-03-07,4,10,up,1.0,0.0,67886.68,67952.25,0.0966
1772856900,2026-03-07,4,15,up,1.0,0.0,67952.25,68016.76,0.0949
1772857200,2026-03-07,4,20,up,1.0,0.0,68016.76,68048.92,0.0473
1772857500,2026-03-07,4,25,down,0.0,1.0,68048.92,68028.25,-0.0304
1772857800,2026-03-07,4,30,down,0.0,1.0,68028.24,67984.22,-0.0647
1772858100,2026-03-07,4,35,up,1.0,0.0,67984.22,68118.91,0.1981
1772858400,2026-03-07,4,40,up,1.0,0.0,68118.91,68132.73,0.0203
1772858700,2026-03-07,4,45,down,0.0,1.0,68132.74,68104.74,-0.0411
1772859000,2026-03-07,4,50,down,0.0,1.0,68104.74,68078.54,-0.0385
1772859300,2026-03-07,4,55,down,0.0,1.0,68078.55,68063.43,-0.0222
1772859600,2026-03-07,5,0,up,1.0,0.0,68063.42,68117.07,0.0788
1772859900,2026-03-07,5,5,down,0.0,1.0,68117.07,68104.38,-0.0186
1772860200,2026-03-07,5,10,down,0.0,1.0,68104.38,68005.05,-0.1458
1772860500,2026-03-07,5,15,down,0.0,1.0,68005.05,67943.72,-0.0902
1772860800,2026-03-07,5,20,up,1.0,0.0,67943.71,67977.42,0.0496
1772861100,2026-03-07,5,25,up,1.0,0.0,67977.41,68020.4,0.0632
1772861400,2026-03-07,5,30,down,0.0,1.0,68020.39,67954.08,-0.0975
1772861700,2026-03-07,5,35,up,1.0,0.0,67954.07,68042.86,0.1307
1772862000,2026-03-07,5,40,up,1.0,0.0,68042.86,68081.8,0.0572
1772862300,2026-03-07,5,45,down,0.0,1.0,68081.81,68058.98,-0.0335
1772862600,2026-03-07,5,50,down,0.0,1.0,68058.98,68069.67,0.0157
1772862900,2026-03-07,5,55,down,0.0,1.0,68069.67,68018.26,-0.0755
1772863200,2026-03-07,6,0,down,0.0,1.0,68018.27,68003.01,-0.0224
1772863500,2026-03-07,6,5,down,0.0,1.0,68003.0,67968.95,-0.0501
1772863800,2026-03-07,6,10,down,0.0,1.0,67968.95,67951.11,-0.0262
1772864100,2026-03-07,6,15,down,0.0,1.0,67951.12,67926.0,-0.037
1772864400,2026-03-07,6,20,down,0.0,1.0,67926.0,67917.82,-0.012
1772864700,2026-03-07,6,25,down,0.0,1.0,67917.81,67865.1,-0.0776
1772865000,2026-03-07,6,30,down,0.0,1.0,67865.1,67843.35,-0.032
1772865300,2026-03-07,6,35,up,1.0,0.0,67843.34,67851.69,0.0123
1772865600,2026-03-07,6,40,up,1.0,0.0,67851.69,67930.91,0.1168
1772865900,2026-03-07,6,45,down,0.0,1.0,67930.9,67892.63,-0.0563
1772866200,2026-03-07,6,50,down,0.0,1.0,67892.63,67695.71,-0.29
1772866500,2026-03-07,6,55,down,0.0,1.0,67695.71,67690.86,-0.0072
1772866800,2026-03-07,7,0,down,0.0,1.0,67690.86,67570.45,-0.1779
1772867100,2026-03-07,7,5,down,0.0,1.0,67570.44,67475.14,-0.141
1772867400,2026-03-07,7,10,up,1.0,0.0,67475.15,67636.18,0.2387
1772867700,2026-03-07,7,15,down,0.0,1.0,67636.18,67617.77,-0.0272
1772868000,2026-03-07,7,20,up,1.0,0.0,67617.76,67707.6,0.1329
1772868300,2026-03-07,7,25,up,1.0,0.0,67707.59,67727.6,0.0296
